Date,AIR.PA,BNP.PA,MC.PA,OR.PA,SAN.PA,^FCHI,Return_AIR.PA,Return_BNP.PA,Return_MC.PA,Return_OR.PA,Return_SAN.PA,Return_^FCHI
2010-01-04,11.286738395690918,26.057641983032227,59.38009262084961,61.02587127685547,31.256010055541992,4013.969970703125,,,,,,
2010-01-05,11.250434875488281,26.007568359375,59.100914001464844,60.05500030517578,30.84293556213379,4012.909912109375,-0.003216475737268465,-0.0019216483091537562,-0.004701552440602663,-0.015909170182514032,-0.01321584209482174,-0.00026409230798607464
2010-01-06,11.351279258728027,26.048534393310547,59.67433547973633,59.527557373046875,30.66669464111328,4017.669921875,0.008963598683590313,0.001575158175861624,0.00970241303302477,-0.008782664714822253,-0.005714142243868681,0.0011861740905922957
2010-01-07,11.464227676391602,26.50377082824707,60.35340118408203,59.688079833984375,30.820899963378906,4024.800048828125,0.009950280940954626,0.017476470194554672,0.011379526875105128,0.002696607554909969,0.005028429834720072,0.0017746920707208957
2010-01-08,11.577177047729492,27.131990432739258,61.16827392578125,59.38993835449219,30.650165557861328,4045.139892578125,0.009852331489411004,0.023703027337628635,0.013501687157842168,-0.004994991970280083,-0.005539565869927321,0.005053628379855013
2010-01-11,11.682056427001953,26.749595642089844,61.643611907958984,59.62691879272461,30.88699722290039,4043.090087890625,0.009059149638990016,-0.014093871645627254,0.007770988973049731,0.003990245566814821,0.00772692938940156,-0.0005067327068862815
2010-01-12,11.375483512878418,26.61758041381836,59.870513916015625,59.24470520019531,30.74930191040039,4000.050048828125,-0.026243060546679242,-0.004935223322171001,-0.02876369403192658,-0.006410084577033848,-0.004458034929918919,-0.010645332685365716
2010-01-13,11.379517555236816,26.426374435424805,60.3232421875,60.13146209716797,30.942073822021484,4000.860107421875,0.000354626012497139,-0.007183447008364818,0.007561790301640725,0.014967698699422938,0.0062691475787908235,0.00020251211456390195
2010-01-14,11.480363845825195,26.704072952270508,60.40620803833008,60.00913619995117,31.344135284423828,4015.77001953125,0.0088620884056696,0.010508385004696086,0.0013753546364798641,-0.0020343077143064603,0.012994005014498988,0.0037266766917734007
2010-01-15,11.641718864440918,25.725317001342773,59.91578674316406,59.32878112792969,31.311086654663086,3954.3798828125,0.01405486975697201,-0.036651935181465145,-0.008118723407614437,-0.011337524835460577,-0.0010543800127472691,-0.015287264066460637
2010-01-18,11.86761474609375,25.647930145263672,60.972084045410156,60.574832916259766,31.21195411682129,3977.4599609375,0.019403997320603716,-0.0030081983469848472,0.017629699277321276,0.021002484201440685,-0.0031660522975504035,0.005836585965176555
2010-01-19,11.944259643554688,25.75263214111328,61.94542694091797,61.06407928466797,31.773733139038086,4009.669921875,0.006458323690206269,0.004082278579854215,0.015963746536577172,0.008076726667732625,0.017998841729490955,0.00809812323790382
2010-01-20,11.952326774597168,25.042469024658203,60.277957916259766,59.90210723876953,31.21195411682129,3928.949951171875,0.0006753981647438234,-0.02757633132658799,-0.02691835551070776,-0.019028732759263756,-0.017680611206700836,-0.020131325589358928
2010-01-21,11.617514610290527,24.386930465698242,59.183895111083984,59.58869171142578,30.446382522583008,3862.159912109375,-0.028012300083547936,-0.026177073766747272,-0.01815029644328181,-0.005232128580960893,-0.024528153263742136,-0.01699946293349419
2010-01-22,11.444058418273926,23.927139282226562,58.678375244140625,58.95420455932617,30.099403381347656,3820.780029296875,-0.014930576619456848,-0.018853999855308,-0.008541510591598134,-0.010647777856447771,-0.01139639958796379,-0.010714181637782039
2010-01-25,11.258502960205078,23.503772735595703,58.701026916503906,58.54904556274414,29.55414581298828,3781.85009765625,-0.016214130624547685,-0.01769398930800481,0.00038603100834055937,-0.006872435979936142,-0.018115228446596632,-0.010189001026523092
2010-01-26,11.302873611450195,23.990877151489258,59.938419342041016,59.33643341064453,29.972719192504883,3807.0400390625,0.003941079147196769,0.020724520330127616,0.021079570333533804,0.013448346430456892,0.014162932746059953,0.006660745602228069
2010-01-27,11.129419326782227,23.55840492248535,59.65170669555664,58.946571350097656,29.63125228881836,3759.800048828125,-0.015346034170660272,-0.01802652842883068,-0.004783453578384167,-0.006570365593914107,-0.01139259009145599,-0.012408587708472862
2010-01-28,11.113283157348633,23.24884033203125,58.9349250793457,57.8763427734375,29.01439094543457,3688.7900390625,-0.0014498662472679502,-0.013140303491372518,-0.012016112462115536,-0.018155908853524583,-0.02081793025050671,-0.01888664525863759
2010-01-29,11.456160545349121,23.740495681762695,59.65923309326172,58.44203567504883,29.521093368530273,3739.4599609375,0.03085293366018127,0.02114752145525567,0.012289962410928057,0.009774164615511172,0.017463831105351213,0.013736190278771598
2010-02-01,11.516669273376465,24.081920623779297,59.855430603027344,58.51847457885742,29.31730842590332,3762.010009765625,0.005281763273814244,0.014381542264042979,0.003288636135481582,0.0013079438956167255,-0.00690302828838274,0.006030295567724497
2010-02-02,11.786937713623047,24.528053283691406,61.190914154052734,59.35936737060547,29.63125228881836,3812.1298828125,0.023467587184375693,0.01852562621070941,0.02231181928808712,0.014369697737333986,0.01070848177309669,0.013322631496665682
2010-02-03,11.799038887023926,23.91803550720215,61.45499038696289,58.961849212646484,29.774444580078125,3793.469970703125,0.0010266596545167594,-0.024870207571460856,0.004315611828339838,-0.006696805838194209,0.0048324751807333755,-0.004894878370620526
2010-02-04,11.496500968933105,22.68889808654785,58.82176208496094,57.66230010986328,29.421960830688477,3689.25,-0.025640895075236925,-0.051389564175710944,-0.042848079308471676,-0.022040507890048855,-0.01183846598520577,-0.027473519365650234
